feature,activity,frequency,mean_activation,specificity,coherence,genericity,entity_ratio,diversity,keywords,activity_n,specificity_n,coherence_n,entity_ratio_n,diversity_n,genericity_n,freq_peak,freq_peak_n,brain_surgery_score,rank
1138,0.0005258700460661203,0.018008333333333335,0.029201483353972435,0.9819916666666667,0.02785384317411166,0.31657142857142856,0.10854503464203233,1.0,"townsend, jordan, devin, first, year",0.0005225030139187689,0.9830284867338797,0.18904953229952043,0.21068882294368782,0.0,0.23600484130281618,0.6756098848975294,0.6756616675368406,0.37355828287500215,97
19,0.0006501914391294121,0.02235,0.02909133955836296,0.97765,0.016252252073425733,0.33214285714285713,0.15037593984962405,1.0,"shiva, townsend, trujillo, jordan, work",0.0007425441748569942,0.9745427301008194,0.10140569749535593,0.3491670525796676,0.0,0.3086770869086113,0.7123863067970081,0.7124409083248767,0.3727774585798143,98
668,0.001850117766112089,0.023325,0.07931908965110779,0.976675,0.023158866550501034,0.3413173652694611,0.151440329218107,1.0,"fey, fernandez, people, townsend, first",0.002866339408515531,0.9726370995325504,0.15358148726690285,0.3526906377055311,0.0,0.3514947452134048,0.7205353669572975,0.7205905931052692,0.37140076606045375,99
1865,0.00041271977970997495,0.01951666666666667,0.021147042512893677,0.9804833333333334,0.046933172633223164,0.35930232558139535,0.15224358974358973,1.0,"jordan, player, nba, all, season",0.00032223405492471833,0.9800804599573271,0.33318369327591724,0.3553497744120715,0.0,0.43543100366290516,0.6884661382150117,0.6885189062776865,0.37131581975354894,100
1130,0.010928789068199694,0.115475,0.0946420356631279,0.884525,0.024582952950626846,0.34062140391254314,0.13610888710968774,1.0,"south, slayer, heaven, been, album",0.018935024965078505,0.7925305796700165,0.16433970069782655,0.3019369915579191,0.0,0.34824667619840854,0.8794875417090721,0.879554951436724,0.37054121264231,101
76,0.006276647349198659,0.09253333333333333,0.06783120334148407,0.9074666666666666,0.006679178843211897,0.3242630385487528,0.09654631083202511,1.0,"all, outside, update, air, make",0.010701022437637443,0.837369904066974,0.0290862335980785,0.1709679031391762,0.0,0.2719017769508222,0.9840987562301438,0.9841741843386047,0.3701214342009592,102
1553,0.0018774581824429332,0.05080833333333333,0.03695177659392357,0.9491916666666667,0.01502655504321182,0.3466955579631636,0.12900763358778625,1.0,"jordan, gods, awards, award, jewish",0.002914730251006418,0.9189211199244263,0.09214620997302186,0.27842879800989334,0.0,0.3765949046855541,0.9167188706099694,0.9167891340945012,0.3700841514409463,103
1762,0.008998286872543395,0.106325,0.08463001996278763,0.893675,0.0028289754647546905,0.3269916765755054,0.1277258566978193,1.0,"members, operation, nhl, cullen, sabres",0.015518155721104179,0.8104141896183853,0.0,0.27418556699134194,0.0,0.2846363986934489,0.931727527326506,0.9317989412147066,0.36861167214881335,104
505,0.0003448630552738905,0.014541666666666666,0.023715510964393616,0.9854583333333333,0.02187462652184813,0.3228346456692913,0.1324655436447167,1.0,"described, townsend, said, rock, metal",0.00020213185807449664,0.9898040620877242,0.14387973860645437,0.2898759627448624,0.0,0.265235431748028,0.645826868453103,0.6458763682437868,0.36790308133161065,105
1232,0.00394353248924017,0.07236666666666666,0.05449377000331879,0.9276333333333333,0.007224524832659229,0.3444924406047516,0.1191588785046729,1.0,"team, gambia, another, fifa, women",0.006571553729656274,0.8767855106927048,0.03320603177019385,0.24582519640816713,0.0,0.36631290101232156,0.9940719490351221,0.994148141582254,0.36575359375476935,106
1229,0.0054621573081860934,0.05728333333333333,0.09535334259271622,0.9427166666666666,0.009197734967172688,0.33408833522083803,0.09953703703703703,1.0,"gods, several, game, later, gold",0.009259425542839246,0.9062657784582309,0.04811258222196559,0.1808684890371075,0.0,0.31775668163270326,0.9487045548234058,0.9487772699896013,0.3648501009841221,107
